Post_ID,Likes,Comments,Shares,Impressions,Reach,Engagement_Rate,Total_Engagement,Calculated_Engagement_Rate,Engagement_per_Impression,Reach_Efficiency,Performance_Level
16ce29c5-2dc7-478f-9814-a86754f3ce8b,908,125,85,3884,1223,91.41,1118,91.41,28.78,31.49,High
a30c948b-0fb3-4e92-95da-e2dea184f568,604,29,2,1831,1386,45.82,635,45.82,34.68,75.7,High
aee74d06-c775-459c-8fc4-013ce25644f1,288,230,56,3927,2516,22.81,574,22.81,14.62,64.07,High
80415748-a509-4fc6-8b55-74f2babe5dac,870,92,15,4829,1377,70.95,977,70.95,20.23,28.52,High
14d34185-639a-4508-a8b6-02a743fe0dbc,573,192,19,2797,1949,40.23,784,40.23,28.03,69.68,High
4fb57935-8d9b-4386-ae17-ee955a2e848d,430,223,86,3265,2813,26.27,739,26.27,22.63,86.16,High
d38fb961-2499-4488-a127-b6624e63f4dd,973,309,164,3917,3404,42.48,1446,42.48,36.92,86.9,High
91c4a56f-b710-4272-9fae-df8932aa8d72,137,327,141,4631,1010,59.9,605,59.9,13.06,21.81,High
b500076f-b136-4e13-818d-9ef714790f4d,658,36,128,3626,3258,25.23,822,25.23,22.67,89.85,High
14ca12b7-e129-4cd8-8612-b9ede3064b47,352,476,104,4242,1436,64.9,932,64.9,21.97,33.85,High
5faf2d73-23d1-4beb-8725-dfedc728a1e8,549,374,98,2409,2118,48.21,1021,48.21,42.38,87.92,High
e3b1c35f-bfd8-4298-b255-63507a2afc9a,206,442,181,4835,3305,25.08,829,25.08,17.15,68.36,High
2227dcab-53b4-4a5e-90c2-79cd7e853e10,742,198,20,2517,2412,39.8,960,39.8,38.14,95.83,High
a0eca87c-d908-478b-99b8-1e98d087675b,585,459,54,4951,3585,30.63,1098,30.63,22.18,72.41,High
a1e0a08e-39bf-400d-9727-80659ed48cf9,528,463,86,1828,1418,75.95,1077,75.95,58.92,77.57,High
c61e42f1-d06c-4dcb-8cff-4f961ddbea9a,440,255,139,3722,1395,59.78,834,59.78,22.41,37.48,High
535ff1f3-e0df-47c7-a23e-b8629597707e,281,199,104,4528,1547,37.75,584,37.75,12.9,34.17,High
b8ce0871-c25f-42ae-b4d2-3fbb95da4492,34,458,5,2047,1911,26.01,497,26.01,24.28,93.36,High
0d0f9b4d-126e-4312-97dd-e6faa38a8d31,143,8,34,3433,2360,7.84,185,7.84,5.39,68.74,Medium
ea63ee08-c599-4746-b39f-b81bc3298732,230,194,33,2516,2190,20.87,457,20.87,18.16,87.04,High
d4223865-2170-4c37-a0ba-a29d2b5319e4,574,218,186,2551,1429,68.44,978,68.44,38.34,56.02,High
761084f6-e19c-4bbf-8705-7b6d57f742ab,737,4,3,3137,2350,31.66,744,31.66,23.72,74.91,High
cae45e1c-6971-4909-9ed9-bc40d88b171c,355,320,114,3421,1035,76.23,789,76.23,23.06,30.25,High
a6d4f283-9362-4f76-880c-8c8dc9749398,882,182,121,2594,1033,114.71,1185,114.71,45.68,39.82,High
d4137999-e1a8-47e0-9ec0-b4520b729488,838,336,135,1591,1487,88.03,1309,88.03,82.28,93.46,High
7ed2e220-46f3-493f-be19-f0ba1521ed02,905,442,191,4279,2383,64.54,1538,64.54,35.94,55.69,High
f630bfa8-f4e4-489c-916a-79ac27919342,810,473,69,3738,1544,87.56,1352,87.56,36.17,41.31,High
e0268fe6-d486-4b2f-ad7f-2273ed98b71d,750,159,100,3134,1470,68.64,1009,68.64,32.2,46.9,High
7ce70a75-1edb-407f-b917-ada84dc2f3ce,365,10,11,4828,2060,18.74,386,18.74,8.0,42.67,High
a67e9ded-6f65-4891-8b30-f8e41f3019a2,915,255,8,1837,1504,78.32,1178,78.32,64.13,81.87,High
a7d40196-8590-4790-8105-9254a2ec017f,576,232,197,3742,3247,30.95,1005,30.95,26.86,86.77,High
c9e82878-96aa-4d24-a17f-1a724259f584,93,89,86,1758,1298,20.65,268,20.65,15.24,73.83,High
bf5f5a98-da85-4379-83d3-60b86ba6ed51,856,243,98,4692,4530,26.42,1197,26.42,25.51,96.55,High
11d0b5bf-8f63-49fa-aa16-96f9d3ea991f,108,133,59,4358,1471,20.39,300,20.39,6.88,33.75,High
5fb9da1c-b20f-4d98-87a6-d8c9fd3eb6c0,830,393,78,4982,2080,62.55,1301,62.55,26.11,41.75,High
8d48e287-2312-44b1-937d-e6e297e6f529,495,56,83,4104,3790,16.73,634,16.73,15.45,92.35,High
6b5b6eee-e099-4c7a-be86-089e1f19c814,676,0,114,3576,1656,47.71,790,47.71,22.09,46.31,High
0af30113-9514-4a31-a44f-a2a6880718d4,849,39,178,3633,3598,29.63,1066,29.63,29.34,99.04,High
0b735931-ae23-4ce1-9d8a-622fc7273b05,731,369,45,2698,2632,43.5,1145,43.5,42.44,97.55,High
77e3491d-4192-413e-adad-28befa3aa7f5,727,319,28,4117,3089,34.77,1074,34.77,26.09,75.03,High
