Location_ID,Audience_Location,Audience_Continent
1,Greece,Europe
2,Lao People's Democratic Republic,Asia
3,Jordan,Asia
4,Sudan,Africa
5,Gabon,Africa
6,Afghanistan,Asia
7,Moldova,Europe
8,Hong Kong,Asia
9,Rwanda,Africa
10,United States Virgin Islands,NorthAmerica
11,Norfolk Island,Oceania
12,Korea,Asia
13,Kazakhstan,Asia
14,Mali,Africa
15,Jersey,Europe
16,French Southern Territories,Africa
17,Ukraine,Europe
18,Denmark,Europe
19,Bolivia,SouthAmerica
20,Cameroon,Africa
21,Reunion,Africa
22,Botswana,Africa
23,Micronesia,Oceania
24,Andorra,Europe
25,Ecuador,SouthAmerica
26,Christmas Island,Oceania
27,Russian Federation,Europe
28,Cuba,NorthAmerica
29,Libyan Arab Jamahiriya,Africa
30,Anguilla,NorthAmerica
31,Greenland,NorthAmerica
32,Brunei Darussalam,Asia
33,Bhutan,Asia
34,Uruguay,SouthAmerica
35,Maldives,Asia
36,Cape Verde,Africa
37,Liechtenstein,Europe
38,Vietnam,Asia
39,Netherlands,Europe
40,Georgia,Asia
41,Sri Lanka,Asia
42,Kenya,Africa
43,Macao,Asia
44,Mayotte,Africa
45,Grenada,NorthAmerica
46,Malaysia,Asia
47,Jamaica,NorthAmerica
48,United Arab Emirates,Asia
49,Martinique,NorthAmerica
50,Tonga,Oceania
51,Uganda,Africa
52,Belgium,Europe
53,Indonesia,Asia
54,Trinidad and Tobago,NorthAmerica
55,Saint Martin,NorthAmerica
56,Western Sahara,Africa
57,Sweden,Europe
58,Norway,Europe
59,Slovenia,Europe
60,Falkland Islands (Malvinas),SouthAmerica
61,Palau,Oceania
62,Venezuela,SouthAmerica
63,Hungary,Europe
64,Croatia,Europe
65,Tokelau,Oceania
66,Sao Tome and Principe,Africa
67,Peru,SouthAmerica
68,Kiribati,Oceania
69,Suriname,SouthAmerica
70,Nepal,Asia
71,Bosnia and Herzegovina,Europe
72,Malawi,Africa
73,Tajikistan,Asia
74,Timor-Leste,Asia
75,Cambodia,Asia
76,Aruba,NorthAmerica
77,Svalbard & Jan Mayen Islands,Europe
78,Spain,Europe
79,South Africa,Africa
80,Algeria,Africa
81,Solomon Islands,Oceania
82,Guinea,Africa
83,Morocco,Africa
84,Qatar,Asia
85,Burkina Faso,Africa
86,Israel,Asia
87,Saint Barthelemy,NorthAmerica
88,Congo,Africa
89,Bangladesh,Asia
90,Ghana,Africa
91,Saint Kitts and Nevis,NorthAmerica
92,Nigeria,Africa
93,Montenegro,Europe
94,Heard Island and McDonald Islands,Oceania
95,Senegal,Africa
