Post_ID,Platform_ID,Platform,Post_Type,Post_Content,Post_Timestamp,Date,Weekday_Type,Time,Time_Period,Sentiment,Campaign_ID,Campaign_Key,Influencer_ID,Influencer_Key
16ce29c5-2dc7-478f-9814-a86754f3ce8b,1,Instagram,Video,Increase fast partner south.,2023-07-30 06:40:06,2023-07-30,Weekend,06:40:06,Morning,Neutral,,,,
a30c948b-0fb3-4e92-95da-e2dea184f568,2,Facebook,Link,Floor glass bring indicate seem detail.,2022-06-19 14:15:59,2022-06-19,Weekend,14:15:59,Afternoon,,98705a1e-2573-4cb8-983b-2112d4b140c9,1,,
aee74d06-c775-459c-8fc4-013ce25644f1,3,Twitter,Image,Customer stop language everybody rest chance me.,2022-06-04 06:19:50,2022-06-04,Weekend,06:19:50,Morning,Positive,,,,
80415748-a509-4fc6-8b55-74f2babe5dac,1,Instagram,Image,Town find identify game your.,2022-05-12 15:41:21,2022-05-12,Weekday,15:41:21,Afternoon,Positive,6b15bf9b-14cc-4ab9-9168-56322057b61e,2,,
14d34185-639a-4508-a8b6-02a743fe0dbc,4,LinkedIn,Link,Seem strategy you cup.,2023-10-26 20:53:33,2023-10-26,Weekday,20:53:33,Evening,Negative,,,,
4fb57935-8d9b-4386-ae17-ee955a2e848d,3,Twitter,Link,Inside name charge management adult.,2024-01-17 15:38:38,2024-01-17,Weekday,15:38:38,Afternoon,Neutral,,,,
d38fb961-2499-4488-a127-b6624e63f4dd,3,Twitter,Image,Late event guess price.,2022-07-12 08:53:48,2022-07-12,Weekday,08:53:48,Morning,Neutral,,,,
91c4a56f-b710-4272-9fae-df8932aa8d72,2,Facebook,Image,Attack agency benefit good.,2021-08-21 05:48:54,2021-08-21,Weekend,05:48:54,Night,,,,020d4653-f752-4176-a694-21b10355604e,1
b500076f-b136-4e13-818d-9ef714790f4d,2,Facebook,Image,Company street those return.,2022-04-12 16:30:04,2022-04-12,Weekday,16:30:04,Afternoon,Negative,,,,
14ca12b7-e129-4cd8-8612-b9ede3064b47,2,Facebook,Link,Mind still page food memory.,2023-07-02 10:57:10,2023-07-02,Weekend,10:57:10,Morning,,,,,
5faf2d73-23d1-4beb-8725-dfedc728a1e8,2,Facebook,Link,Question learn run nearly believe political series.,2021-04-28 10:01:03,2021-04-28,Weekday,10:01:03,Morning,,c4de6290-0b01-4646-ba8b-cca498ac1259,3,,
e3b1c35f-bfd8-4298-b255-63507a2afc9a,2,Facebook,Video,Conference put put service.,2022-07-11 13:56:42,2022-07-11,Weekday,13:56:42,Afternoon,,274ce814-88f3-46f6-8d56-91ecb569f757,4,,
2227dcab-53b4-4a5e-90c2-79cd7e853e10,4,LinkedIn,Link,Take cell cell certain decision.,2021-11-28 01:54:39,2021-11-28,Weekend,01:54:39,Night,,ed333906-1664-467d-8c42-87569e2e9ec4,5,,
a0eca87c-d908-478b-99b8-1e98d087675b,3,Twitter,Video,Experience direction production later attorney.,2021-12-05 00:54:58,2021-12-05,Weekend,00:54:58,Night,,,,a25e22a3-07ca-4d00-9fe5-ce49cd491a10,2
a1e0a08e-39bf-400d-9727-80659ed48cf9,2,Facebook,Link,Ability trial impact young technology.,2023-02-08 20:52:13,2023-02-08,Weekday,20:52:13,Evening,Positive,,,,
c61e42f1-d06c-4dcb-8cff-4f961ddbea9a,4,LinkedIn,Link,Buy prove some.,2024-01-19 03:42:40,2024-01-19,Weekday,03:42:40,Night,Neutral,,,,
535ff1f3-e0df-47c7-a23e-b8629597707e,1,Instagram,Link,Trip star keep purpose a social.,2023-11-28 08:11:31,2023-11-28,Weekday,08:11:31,Morning,,,,,
b8ce0871-c25f-42ae-b4d2-3fbb95da4492,1,Instagram,Image,Win offer physical shake one everything campaign.,2022-11-03 22:45:47,2022-11-03,Weekday,22:45:47,Night,Neutral,,,f57670f7-6544-4214-a304-d0090d971e80,3
